type,color,year,length,condition,width,weight,price
Standard,White,2019,2.96,New Car,2.4082904846650037,3251.0,11777
SUV,Black,2010,3.34,Average,2.8406803684091986,3277.0,6006
Standard,Red,2022,2.95,Good,2.084228298495636,3573.0,11925
Standard,White,2020,2.89,Good,2.292693634279612,3159.0,10001
SUV,White,2013,3.23,Poor,2.935222922240817,3791.0,5956
SUV,Red,2020,3.2,Poor,2.2286092452037694,3223.0,7331
Standard,Purple,2016,2.77,Poor,2.832111728883068,2522.0,3873
Standard,Purple,2013,3.1,Poor,3.2150196200958034,3007.0,4899
Standard,Green,2019,3.0,Good,2.372635411929078,3169.0,8659
Standard,Black,2023,3.12,Good,1.8137410780566103,2512.0,26536
Standard,Purple,2022,2.73,Average,2.069091800939589,2131.0,8097
SUV,Black,2016,3.27,Poor,2.721262319713688,3375.0,6652
SUV,Green,2021,3.28,Poor,2.038783183145503,3081.0,10225
SUV,Black,2021,3.42,Good,2.0535669796360256,3760.0,11982
Standard,Purple,2020,3.08,Poor,2.41870812028323,3007.0,6466
SUV,Purple,2016,3.31,Good,2.7619567194772525,2921.0,6648
Standard,White,2018,3.06,Good,2.6503070947187575,3470.0,8992
Standard,Green,2021,3.01,Good,2.303558540823382,3377.0,10420
Standard,White,2023,3.09,Good,2.0491683031025594,2958.0,16388
Standard,Red,2019,3.23,Poor,2.562508115306165,3294.0,7924
SUV,Purple,2019,3.38,Average,2.475950899203504,3496.0,7320
SUV,White,2020,3.34,Poor,2.173836821934207,2878.0,7496
Standard,Purple,2023,2.9,New Car,1.9925944392552737,2921.0,13087
SUV,Black,2019,3.13,Average,2.4035746679970624,3233.0,8714
SUV,Purple,2021,3.25,New Car,2.176070058475704,3229.0,10128
Standard,Red,2022,2.64,Good,1.981935963856208,2768.0,10760
Standard,Red,2023,2.83,Good,1.9625731011952223,2719.0,14515
SUV,Purple,2020,3.39,Average,2.1118859893429267,3578.0,7779
SUV,Black,2022,3.23,Good,2.1935512056859965,3710.0,12766
Standard,Green,2022,2.94,Good,2.0932541650223784,2862.0,10883
SUV,Purple,2021,3.26,Good,2.2685158774310854,3307.0,11127
Standard,Red,2021,3.14,Good,2.082097822046789,3309.0,10159
Standard,Purple,2021,3.06,Average,2.1980716366248623,,8101
Standard,Red,2023,3.03,Good,1.881125152751742,3114.0,15645
SUV,White,2000,3.37,Poor,2.303201742462346,3266.0,4589
SUV,White,2023,3.36,Poor,2.25525186369467,,11069
SUV,Green,2023,3.36,Good,2.0183459170634164,3571.0,21395
Standard,Purple,2022,2.97,Average,2.199561015358302,3453.0,8035
SUV,Purple,2005,3.32,Poor,2.590754467358066,3462.0,4451
Standard,Purple,2019,0.0,Average,2.367736686193049,3196.0,6251
Standard,Green,2020,3.09,Good,2.2716750512134687,3052.0,10566
Standard,Black,2022,3.01,Average,2.21837936720318,3280.0,9663
Standard,Green,2020,3.17,New Car,2.2611801795436595,3392.0,13186
SUV,Purple,2019,3.32,Good,2.662448188526138,3621.0,8406
Standard,Red,2023,2.96,Average,2.0178276415674126,3188.0,16123
Standard,White,2022,2.9,Good,2.230824609894874,2979.0,10216
SUV,White,2007,3.44,Average,2.8070018576988023,3846.0,6058
SUV,White,2021,3.35,Good,2.2643391324821702,3797.0,11771
Standard,White,2021,2.88,Average,2.415982385669807,,9383
SUV,Green,2023,3.31,Good,2.1315864003349922,3944.0,14572
SUV,Purple,2016,3.44,Average,2.6762423267125364,3609.0,6191
Standard,White,2022,3.16,Average,2.196923538687946,3493.0,10944
Standard,White,2019,3.11,Good,2.3512825096985233,3075.0,8306
SUV,Red,2023,3.26,Good,1.895928660833456,3354.0,13143
SUV,Purple,2016,3.32,New Car,2.661298886019413,3458.0,7837
SUV,Purple,2017,3.34,Good,2.688353224197154,3402.0,8072
SUV,Red,2023,3.44,Poor,2.1430998201484637,3590.0,16686
SUV,Green,2015,3.31,Good,2.7912551026812955,3195.0,7467
Standard,Purple,2020,3.0,Poor,2.176071030541396,3079.0,6602
Standard,Red,2022,3.02,Good,2.22656673610121,3658.0,15324
Standard,Purple,2023,2.82,Good,2.180570956646036,3005.0,10399
Standard,Purple,2017,2.95,Poor,2.7910298700421454,2807.0,5530
SUV,Purple,2021,3.24,Poor,2.172955062141159,,7676
Standard,Black,2022,3.08,New Car,2.120282905201935,3138.0,14917
Standard,Black,2023,3.03,Poor,2.052296063263775,3260.0,13233
Standard,Green,2020,2.81,Good,2.186163064796292,2673.0,8753
SUV,Green,2019,3.23,Poor,2.441137100307027,2595.0,6984
SUV,Black,2021,3.26,Average,2.3651496535208545,2921.0,8893
SUV,Black,2009,3.32,Good,2.70825165781756,3252.0,6446
Standard,Green,2003,2.97,Average,2.284356984600625,2843.0,4808
SUV,Purple,2014,3.39,Good,2.889408649406484,3484.0,6700
Standard,Green,2022,3.0,Poor,2.0360315244523233,3015.0,10103
Standard,White,2023,2.9,New Car,2.162854699092815,2927.0,19011
Standard,Green,1989,3.13,Average,1.7440776751762368,3449.0,4497
Standard,Black,1993,3.09,Good,1.8688154429837858,3264.0,4828
Standard,Black,2020,2.84,Poor,2.2697543053804425,3020.0,7298
