code_departement | nombre_personnes_avec_doublon
------------------+-------------------------------
 13               |                         35555
 97               |                         22923
 75               |                         13809
 59               |                         13039
 69               |                         11928
 33               |                         10916
 38               |                         10598
 06               |                         10136
 76               |                          8250
 62               |                          7841
 34               |                          7521
 17               |                          7124
 77               |                          7066
 94               |                          6943
 68               |                          6849
 67               |                          6419
 31               |                          6254
 92               |                          6218
 42               |                          5891
 83               |                          5641
 78               |                          5408
 64               |                          5386
 01               |                          5362
 93               |                          5173
 44               |                          5153
 99               |                          5143
 26               |                          5103
 29               |                          4852
 57               |                          4815
 66               |                          4478
 95               |                          4172
 07               |                          4113
 18               |                          4096
 84               |                          4001
 91               |                          3997
 54               |                          3911
 30               |                          3868
 14               |                          3860
 56               |                          3701
 60               |                          3653
 35               |                          3636
 11               |                          3601
 37               |                          3574
 63               |                          3487
 03               |                          3460
 24               |                          3340
 80               |                          3216
 45               |                          3198
 51               |                          3134
 86               |                          3107
 22               |                          3076
 85               |                          3007
 71               |                          2980
 87               |                          2972
 02               |                          2897
 08               |                          2809
 47               |                          2774
 50               |                          2718
 81               |                          2683
 2B               |                          2572
 49               |                          2529
 88               |                          2503
 27               |                          2495
 40               |                          2491
 74               |                          2476
 89               |                          2394
 16               |                          2382
 19               |                          2339
 79               |                          2302
 12               |                          2284
 21               |                          2201
 28               |                          2170
 65               |                          2090
 25               |                          2024
 72               |                          2023
 73               |                          1874
 52               |                          1872
 41               |                          1757
 04               |                          1739
 61               |                          1737
 36               |                          1713
 32               |                          1698
 10               |                          1655
 55               |                          1493
 43               |                          1408
 46               |                          1373
 58               |                          1335
 53               |                          1323
 23               |                          1281
 82               |                          1233
 20               |                          1231
 09               |                          1227
 70               |                          1075
 15               |                          1062
 05               |                           915
 39               |                           884
 48               |                           689
 90               |                           607
 2A               |                           327
 98               |                           259
                  |                            96
